rise_delay,fall_delay,rise_slew,fall_slew
5.368729e-10,9.519196e-10,7.577119e-10,1.77668e-09 
1.040941e-10,2.3016e-10,1.330892e-10,4.136226e-10 
7.894514e-10,1.7067e-09,1.183261e-09,3.239269e-09 
-1.429198e-10,2.756138e-10,2.287586e-10,4.109225e-10 
9.731081e-10,2.09048e-09,1.412058e-09,3.920561e-09 
5.572819e-10,1.209757e-09,8.582131e-10,2.242167e-09 
1.21594e-09,3.44816e-09,1.922476e-09,6.525238e-09 
3.859479e-10,8.558005e-10,7.774301e-10,1.682951e-09 
2.171425e-10,4.168052e-10,2.61459e-10,7.677687e-10 
1.492468e-10,2.386554e-10,1.968508e-10,3.628289e-10 
3.241663e-10,5.385683e-10,6.286394e-10,1.084369e-09 
3.862131e-10,7.516327e-10,6.572334e-10,1.330109e-09 
6.445012e-11,1.193558e-10,9.305958e-11,1.966574e-10 
9.510038e-10,2.251049e-09,1.443128e-09,4.346175e-09 
3.75617e-10,7.021434e-10,7.306839e-10,1.447973e-09 
7.375883e-10,1.27757e-09,1.17443e-09,2.498623e-09 
1.124184e-10,2.357454e-10,2.243434e-10,4.525335e-10 
2.297344e-10,4.778853e-10,3.31711e-10,8.537067e-10 
2.437017e-11,9.243337e-11,6.301178e-11,1.725258e-10 
6.001616e-11,6.61416e-11,8.642724e-11,1.188313e-10 
5.96152e-10,1.34441e-09,1.051942e-09,2.469268e-09 
1.044549e-09,1.864929e-09,1.436388e-09,3.55428e-09 
6.415052e-10,1.229844e-09,8.828433e-10,2.402738e-09 
5.154444e-10,1.815886e-09,1.031594e-09,3.554566e-09 
4.191249e-10,8.848939e-10,6.205639e-10,1.724077e-09 
1.012766e-09,3.603588e-09,1.890634e-09,7.086254e-09 
4.049196e-10,1.137962e-09,5.668831e-10,2.18951e-09 
4.997028e-11,5.793518e-11,7.309754e-11,1.062139e-10 
1.983767e-10,4.137371e-10,3.48466e-10,7.613054e-10 
6.704354e-10,1.307011e-09,9.799058e-10,2.675712e-09 
9.784927e-11,2.47892e-10,1.866371e-10,4.176658e-10 
4.92961e-11,7.572668e-11,8.359829e-11,1.424511e-10 
3.05387e-10,5.587613e-10,4.420606e-10,1.091439e-09 
1.281458e-10,2.876397e-10,2.667579e-10,5.652655e-10 
6.692607e-11,8.323212e-11,9.426557e-11,1.578304e-10 
3.408916e-11,5.790952e-11,6.540068e-11,1.062656e-10 
6.752989e-11,1.455122e-10,1.311841e-10,2.63254e-10 
4.138447e-10,7.736587e-10,7.918758e-10,1.462805e-09 
2.497229e-10,5.082736e-10,3.540479e-10,9.652952e-10 
1.136093e-10,3.715737e-10,1.815376e-10,7.187049e-10 
1.771956e-10,2.638361e-10,1.907364e-10,4.937363e-10 
1.153266e-09,2.29662e-09,1.63829e-09,4.345498e-09 
